Time,bit-x,bitbay,bitfinex,bitflyer,bitstamp,coinbase,gemini,itbit,kraken,others
2019-02-17 00:00:00 UTC,6015.4077,926.74915589,13499.9645072001,3286.25943102999,5424.98959496,7335.32079194999,1407.6707794396,1770.0887,6186.01012423999,2746.710545585051
2019-02-18 00:00:00 UTC,6704.4597,2008.1494833,37616.3813637302,8909.71250354997,17836.48666472,20563.5936683699,3807.9170804896,4699.5375,20434.50189711,5878.89667785943
2019-02-19 00:00:00 UTC,6749.725,1813.44517112,24303.1922964801,6980.31586987997,14362.96040121,17551.0888914099,3746.9503801794,3728.5252,15263.11585478,4711.89380226511
2019-02-20 00:00:00 UTC,6185.9936,1731.86735767,15256.90732287,3780.10855053,11058.5427347,10983.96026464,3014.3251176858,2301.9424,9935.43961163999,3396.9953073196975
2019-02-21 00:00:00 UTC,6858.7285,1485.09745309,14085.4026274,4429.76130846999,9205.11111685,10941.28727515,2537.6848783783,1700.2834,8874.50525028,3650.9690620577057
2019-02-22 00:00:00 UTC,6062.0091,1296.31943609,14206.28026416,3696.63394569,7545.97294636,9574.93693622999,1570.4977748864,1268.7037,9433.75929813999,3073.839156959103
2019-02-23 00:00:00 UTC,5654.4605,1151.96576522,21530.9657076102,3961.45246439998,9311.70325519,13097.95811432,2212.6001029023,2499.638,12026.49405522,3146.4515683348163
2019-02-24 00:00:00 UTC,5950.9565,1732.44550101,36094.9368645902,9074.63592815004,15717.7277396,19882.4884402501,5931.32318461991,4075.9836,21585.61936373,5428.594068378348
2019-02-25 00:00:00 UTC,6071.2389,1551.72032411,10406.15612118,5622.33510736999,10266.09774472,13417.32398507,2262.6115864237,2349.7531,10394.8032272,3549.898579218976
2019-02-26 00:00:00 UTC,6947.7363,1116.66549466,5112.69969848,4004.62398575,7824.1937352,8400.95874707,1620.4236353511,1436.62111742,8284.54718423,3319.508383586994
2019-02-27 00:00:00 UTC,6538.91,1146.42701642,12033.32506018,4867.20434371999,9298.36953227,10864.42780186,3094.8888790313,1942.95471328,11589.35907102,3471.171618386179
2019-02-28 00:00:00 UTC,6571.1159,1192.91176055,12096.66631299,6541.02327804998,8165.71719588,12179.63335155,3768.7800459231,2199.13607439,11116.5206984,3418.918399104938
2019-03-01 00:00:00 UTC,6687.685,1028.60230719,4758.42170141,3066.40897656,5721.38386,8404.87555123999,1608.0910823338,722.80764134,6120.96547706,2562.389443305347
2019-03-02 00:00:00 UTC,6261.8779,839.48646995,5114.60897237999,1481.43875288,3698.70528362,4481.31180466999,585.1449411055,656.48708906,3401.39805325,2115.288560130718
2019-03-03 00:00:00 UTC,5943.0237,824.47760014,2877.99800951,1695.17470314,2781.81503015,5096.83949774999,504.0101055341,553.60354459,3718.53854476,1872.8050063713038
2019-03-04 00:00:00 UTC,6834.0919,1043.78018792,10185.49022998,4115.56269398,8546.77128571,10400.91813708,1823.3682991342,1468.78163988,9791.02772796,3696.534357921453
2019-03-05 00:00:00 UTC,5312.4341,1267.27418494,10796.72638702,4438.45421532999,8661.25430385,12037.88501918,2550.4978632983,1945.23428059,9646.79329823999,3461.0222957036863
2019-03-06 00:00:00 UTC,3135.0548,920.23688813,6590.84499627,3171.47293915,7727.67191668,8580.98401648999,2898.2417866441,1452.50115259,7139.42719091,3062.490379122173
2019-03-07 00:00:00 UTC,2505.7765,1149.26793904,7640.46908769,3397.39621739,9557.93295091,9499.79127010998,1991.4071874576,1543.63120786,8388.39586010999,3367.1101827894972
2019-03-08 00:00:00 UTC,3539.9607,1207.15056526,8901.24057181001,3361.57525583999,9453.56661596,11133.85330215,2702.2915520745,1379.43851292,8569.7581216,3511.6692960390455
2019-03-09 00:00:00 UTC,6764.3011,1301.40741062,7381.72010915,2729.92351176,5982.26266049,7210.67366672999,848.6464151916,1069.73701692,5436.76057489,2404.5137346630568
2019-03-10 00:00:00 UTC,7072.0811,617.19315529,4674.11237098,1789.73933511,3340.18760897,4647.87369612,739.8375731303,470.60098573,2788.8547141,1923.479647391317
2019-03-11 00:00:00 UTC,7149.6717,1160.98656492,6609.55860022999,4301.14893292999,7423.63485117,8121.76156305,1762.1648270011,1182.46815711,6955.79555825,3493.1095724221927
2019-03-12 00:00:00 UTC,5504.2888,1042.48930311,7625.99903408999,2670.20649764,7783.41160888,8789.27916570999,2272.0220645735,1171.65053629,7356.57689044,3459.4898491969584
2019-03-13 00:00:00 UTC,7492.692,942.1276165,5531.00602251,2460.19510394,5639.86766038,7341.65020726,2056.3263386872,937.19122123,7278.51124304,3048.4388454059504
2019-03-14 00:00:00 UTC,6339.7064,754.68713373,8303.48813976001,3069.60499355,6317.25140042,8922.32639585,2580.970191986,1735.43616279,8012.20352042,3164.5226331855574
2019-03-15 00:00:00 UTC,5999.9329,1032.88540523,6737.58548732,2524.68430656,7438.40305852,8325.10090477999,2135.2223407271,1291.87827548,6623.02509401,3747.167744288275
2019-03-16 00:00:00 UTC,6390.2645,1090.89797077,13944.79260524,3602.40455873999,8216.28343412,8161.50247746999,1900.8623839172,2128.02367974,7415.68491614,2847.6642899518665
2019-03-17 00:00:00 UTC,6568.0743,696.89837799,3392.82321589,1613.23475519,3354.73625906,4379.02527102,517.0923956485,813.78574336,2748.0173437,2013.013016730396
2019-03-18 00:00:00 UTC,6997.5507,1023.1481212,3679.86716697,3150.70281738,6274.9567261,7376.62369555999,1955.3950782502,1789.79007674,7613.60396369,3181.789516181433
