Time,bitfinex,bitflyer,bitstamp,coinbase,exmo,hitbtc,kraken,localbitcoins,okcoin,others
2017-03-01 00:00:00 UTC,17.275,19.214699074074073,7.451712962962963,26.058425925925928,9.583078703703704,0.08849537037037038,21.074699074074076,9.669074074074073,15.629189814814815,62.41601851851853
2017-04-01 00:00:00 UTC,12.160532407407407,8.96287037037037,5.304976851851852,19.402199074074073,6.186296296296296,0.03127314814814815,13.82912037037037,9.75986111111111,22.913680555555555,52.682916666666664
2017-05-01 00:00:00 UTC,27.692060185185184,22.578703703703702,15.551944444444445,45.858078703703704,12.672592592592592,0.6207175925925926,42.18969907407408,11.522476851851852,58.88590277777778,107.04645833333332
2017-06-01 00:00:00 UTC,25.49386574074074,23.941203703703703,17.458171296296296,47.865,11.489699074074075,0.6841435185185185,36.820277777777775,11.233287037037037,38.70620370370371,87.9548611111111
2017-07-01 00:00:00 UTC,29.608101851851853,21.742175925925928,14.583425925925926,36.72377314814815,9.616805555555555,1.338125,36.05155092592592,9.749375,26.361597222222223,83.51106481481482
2017-08-01 00:00:00 UTC,41.018171296296295,27.71648148148148,18.32375,45.21981481481482,11.5575,5.7894907407407405,41.598379629629626,10.826805555555556,33.79990740740741,77.59949074074073
2017-09-01 00:00:00 UTC,47.556875,30.462152777777778,24.863935185185184,48.030277777777776,13.22625,14.359907407407407,33.3581712962963,11.570532407407407,37.754189814814815,67.05321759259259
2017-10-01 00:00:00 UTC,46.23456018518519,37.05583333333333,22.086157407407406,46.10627314814815,11.534837962962962,21.47861111111111,27.56238425925926,12.63263888888889,9.080023148148149,54.42199074074073
2017-11-01 00:00:00 UTC,88.81810185185185,56.87979166666667,39.24412037037037,96.75851851851851,17.386828703703703,19.896597222222223,35.74912037037037,13.491064814814814,,88.33534722222223
2017-12-01 00:00:00 UTC,161.40666666666667,93.4275,90.05217592592592,216.66275462962963,34.6225462962963,29.53847222222222,46.24699074074074,14.136504629629629,,146.90509259259258
2018-01-01 00:00:00 UTC,122.10365740740741,86.99412037037037,64.18930555555555,147.15962962962962,27.639722222222222,24.45685185185185,68.81511574074074,11.565740740740742,,116.41104166666665
2018-02-01 00:00:00 UTC,103.04724537037038,113.52803240740741,47.21423611111111,116.76847222222223,22.607824074074074,21.49111111111111,68.73958333333333,10.133773148148148,,88.25361111111111
2018-03-01 00:00:00 UTC,94.01870370370371,101.62439814814815,42.6325462962963,88.31537037037037,17.513310185185187,18.490902777777777,59.57918981481482,12.468587962962962,,80.50435185185185
2018-04-01 00:00:00 UTC,66.18108796296296,64.64784722222223,31.549583333333334,60.056550925925926,12.451018518518518,20.195,34.42740740740741,15.466435185185185,,46.14229166666667
2018-05-01 00:00:00 UTC,46.537824074074074,51.734375,29.218449074074073,51.02752314814815,10.898078703703703,19.819375,30.901319444444443,20.727800925925926,,40.60421296296297
2018-06-01 00:00:00 UTC,34.84381944444444,35.70261574074074,20.321296296296296,39.17002314814815,7.0226851851851855,15.091828703703703,24.783194444444444,22.868495370370372,,31.33185185185185
2018-07-01 00:00:00 UTC,37.906527777777775,40.59583333333333,22.012800925925927,61.82125,7.333912037037037,11.544930555555556,22.558611111111112,24.685578703703705,,35.619606481481476
2018-08-01 00:00:00 UTC,45.348564814814814,51.20476851851852,21.725925925925925,63.57050925925926,7.982430555555555,19.44349537037037,24.028796296296296,26.02050925925926,,44.92166666666667
2018-09-01 00:00:00 UTC,31.634837962962962,28.607708333333335,14.004050925925926,52.803263888888885,7.927685185185185,,18.98409722222222,22.282847222222223,,45.113819444444445
2018-10-01 00:00:00 UTC,23.693310185185187,15.851111111111111,10.060949074074074,42.246180555555554,6.029907407407407,,14.656319444444444,23.732222222222223,,46.094884259259246
2018-11-01 00:00:00 UTC,43.37259259259259,29.37701388888889,17.054930555555554,60.85726851851852,8.99912037037037,,30.030694444444446,23.086388888888887,,64.22523148148149
2018-12-01 00:00:00 UTC,45.30997685185185,26.26087962962963,17.490694444444443,57.76479166666667,13.21875,,33.47134259259259,23.002800925925925,,57.78865740740742
2019-01-01 00:00:00 UTC,22.76965277777778,13.152916666666666,11.289375,47.504444444444445,7.915416666666666,,19.051388888888887,4.33724537037037,,27.97324074074074
2019-02-01 00:00:00 UTC,17.791203703703705,11.177939814814815,10.503449074074075,43.493611111111115,7.026550925925926,,15.89337962962963,,,20.17099537037037
